Name,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats
BMW 3 Series 320d,15789.49,2011,70000,Diesel,Automatic,First,22.69 kmpl,1995 CC,5.0
Hyundai Verna 1.6 SX,8737.87,2014,62000,Diesel,Manual,First,22.32 kmpl,1582 CC,5.0
Maruti Wagon R VXI,5227.39,2014,41994,Petrol,Manual,First,22.5 kmpl,998 CC,5.0
Ford Figo Diesel EXI,3679.1,2010,108882,Diesel,Manual,Second,20.0 kmpl,1399 CC,5.0
Mahindra KUV 100 mFALCON G80 K2,8584.58,2017,24806,Petrol,Manual,First,18.15 kmpl,1198 CC,6.0
Tata Indigo LS,1532.96,2006,160000,Diesel,Manual,First,17.0 kmpl,1405 CC,5.0
Mahindra TUV 300 T8 AMT,12570.27,2017,30000,Diesel,Automatic,First,18.49 kmpl,1493 CC,7.0
Audi Q3 35 TDI Quattro Premium Plus,42156.4,2015,51000,Diesel,Automatic,First,15.17 kmpl,1968 CC,5.0
Maruti Wagon R VXI 1.2,5365.36,2015,64876,Petrol,Manual,First,21.5 kmpl,1197 CC,5.0
Maruti Celerio CNG VXI MT,7020.96,2016,70536,CNG,Manual,First,31.79 kmpl,998 CC,5.0
Maruti Vitara Brezza ZDi Plus Dual Tone,15850.81,2017,25299,Diesel,Manual,First,24.3 kmpl,1248 CC,5.0
Mahindra Scorpio DX 2.6 Turbo 8 Str,4982.12,2006,89869,Diesel,Manual,First,12.7 kmpl,2609 CC,8.0
Hyundai Tucson CRDi,7664.8,2007,103515,Diesel,Manual,Third,12.6 kmpl,1991 CC,7.0
Hyundai Santro Xing GLS,3449.16,2008,68282,Petrol,Manual,First,17.92 kmpl,1086 CC,5.0
Porsche Panamera Diesel 250hp,78978.1,2014,60033,Diesel,Automatic,First,18.18 kmpl,2967 CC,4.0
Maruti Vitara Brezza VDi Option,13214.12,2018,51921,Diesel,Manual,First,24.3 kmpl,1248 CC,5.0
Maruti Swift Dzire VDI,11113.96,2017,18414,Diesel,Manual,First,23.4 kmpl,1248 CC,5.0
Honda Amaze V Petrol,8385.29,2016,40866,Petrol,Manual,First,19.5 kmpl,1199 CC,5.0
Jaguar XF 2.2 Litre Luxury,47521.76,2014,55001,Diesel,Automatic,First,16.36 kmpl,2179 CC,5.0
Mini Cooper Convertible S,55155.9,2017,20469,Petrol,Automatic,First,16.82 kmpl,1998 CC,4.0
Hyundai EON Era Plus,5242.72,2017,8500,Petrol,Manual,First,21.1 kmpl,814 CC,5.0
Audi A6 3.0 TDI quattro,17629.04,2008,45000,Diesel,Automatic,Second,16.77 kmpl,2967 CC,5.0
Hyundai i20 Active 1.2 SX Dual Tone,11113.96,2016,6000,Petrol,Manual,First,17.19 kmpl,1197 CC,5.0
Maruti Swift AMT DDiS VDI,12263.68,2018,11000,Diesel,Manual,First,28.4 kmpl,1248 CC,5.0
Ford Ecosport 1.5 DV5 MT Titanium,11236.6,2015,80064,Diesel,Manual,First,22.7 kmpl,1498 CC,5.0
Maruti Wagon R VXI BS IV with ABS,5135.42,2016,29930,Petrol,Manual,First,18.9 kmpl,998 CC,5.0
Volkswagen Vento 1.5 TDI Highline,6745.02,2013,49105,Diesel,Manual,First,20.34 kmpl,1498 CC,5.0
Toyota Etios VX,4583.55,2012,55000,Petrol,Manual,First,17.6 kmpl,1496 CC,5.0
Honda Jazz 1.2 SV i VTEC,8584.58,2015,23000,Petrol,Manual,First,18.7 kmpl,1199 CC,5.0
Volkswagen CrossPolo 1.5 TDI,10163.52,2016,54727,Diesel,Manual,First,20.14 kmpl,1498 CC,5.0
Volkswagen Ameo 1.5 TDI Highline,12110.38,2018,31426,Diesel,Manual,First,21.66 kmpl,1498 CC,5.0
Honda City V MT Exclusive,10730.72,2015,53442,Petrol,Manual,First,16.8 kmpl,1497 CC,5.0
Honda Brio VX AT,7588.15,2014,28000,Petrol,Automatic,First,16.5 kmpl,1198 CC,5.0
Skoda Rapid 1.6 MPI AT Style,14087.9,2017,13412,Petrol,Automatic,First,14.3 kmpl,1598 CC,5.0
Hyundai Verna CRDi,7818.1,2011,70000,Diesel,Manual,First,16.8 kmpl,1493 CC,5.0
Hyundai i20 Active S Diesel,9044.46,2015,81310,Diesel,Manual,First,21.19 kmpl,1396 CC,5.0
Maruti Baleno Alpha CVT,14578.45,2019,13574,Petrol,Automatic,First,21.4 kmpl,1197 CC,5.0
Honda CR-V 2.4L 4WD MT,5978.54,2008,75000,Petrol,Manual,Second,11.1 kmpl,2354 CC,5.0
Maruti Swift Dzire VXI,8262.65,2014,58310,Petrol,Manual,Second,19.1 kmpl,1197 CC,5.0
Maruti Swift Dzire VDi,4598.88,2009,90000,Diesel,Manual,Second,19.3 kmpl,1248 CC,5.0
Maruti Swift Dzire ZDI,6591.73,2012,83000,Diesel,Manual,First,23.4 kmpl,1248 CC,5.0
Maruti Swift Dzire ZXI,10347.48,2017,37282,Petrol,Manual,First,20.85 kmpl,1197 CC,5.0
Hyundai Grand i10 Sportz,6898.32,2017,23000,Petrol,Manual,First,18.9 kmpl,1197 CC,5.0
Ford Fiesta 1.4 ZXi TDCi ABS,4215.64,2010,82000,Diesel,Manual,First,17.8 kmpl,1399 CC,5.0
Hyundai Verna 1.6 CRDi S,13796.64,2016,31000,Diesel,Manual,First,23.9 kmpl,1582 CC,5.0
Maruti Wagon R Vx,1073.07,2001,200000,Petrol,Manual,First,12.0 kmpl,998 CC,5.0
Ford Figo Diesel EXI,3909.05,2014,45001,Diesel,Manual,Second,20.0 kmpl,1399 CC,5.0
Tata Manza Aqua Quadrajet BS IV,5426.68,2014,50446,Diesel,Manual,First,21.12 kmpl,1248 CC,5.0
Honda Civic 2006-2010 1.8 S MT,6515.08,2009,89000,Petrol,Manual,First,13.5 kmpl,1799 CC,5.0
Maruti Alto LX BSIII,1839.55,2007,72000,Petrol,Manual,Second,19.7 kmpl,796 CC,5.0
BMW 5 Series 520d Luxury Line,29892.72,2013,90000,Diesel,Automatic,First,22.48 kmpl,1995 CC,5.0
Mahindra XUV500 W8 2WD,18395.52,2015,76000,Diesel,Manual,Second,16.0 kmpl,2179 CC,7.0
Maruti Ritz VDi,5978.54,2012,78401,Diesel,Manual,First,23.2 kmpl,1248 CC,5.0
Maruti Vitara Brezza ZDi Plus,13995.92,2017,38426,Diesel,Manual,First,24.3 kmpl,1248 CC,5.0
Maruti Eeco 7 Seater Standard,3449.16,2011,45000,Petrol,Manual,First,15.1 kmpl,1196 CC,7.0
Maruti Swift Dzire 1.2 Vxi BSIV,4982.12,2012,83000,Petrol,Manual,First,17.5 kmpl,1197 CC,5.0
Hyundai Creta 1.6 CRDi AT SX Plus,22672.48,2017,50170,Diesel,Automatic,First,17.01 kmpl,1582 CC,5.0
Maruti Wagon R LXI,3602.46,2010,37822,Petrol,Manual,First,22.5 kmpl,998 CC,5.0
Maruti Celerio ZDi,4752.18,2015,33517,Diesel,Manual,First,27.62 kmpl,793 CC,5.0
Hyundai Santa Fe 2WD AT,19775.18,2014,110000,Diesel,Automatic,First,13.01 kmpl,2199 CC,7.0
Hyundai EON D Lite Plus Option,3832.4,2017,60000,Petrol,Manual,First,21.1 kmpl,814 CC,5.0
Hyundai i20 Sportz 1.2,5595.3,2013,92408,Petrol,Manual,First,18.5 kmpl,1197 CC,5.0
Hyundai Verna 1.6 SX VTVT (O),11497.2,2014,45000,Petrol,Manual,First,17.1 kmpl,1591 CC,5.0
Honda Brio S Option MT,5733.27,2013,33793,Petrol,Manual,First,18.4 kmpl,1198 CC,5.0
Maruti Swift VXI Optional,8983.15,2017,26327,Petrol,Manual,First,20.4 kmpl,1197 CC,5.0
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,60735.88,2018,20604,Diesel,Automatic,First,19.27 kmpl,2143 CC,5.0
Maruti Swift VDI Optional,10807.37,2018,61386,Diesel,Manual,First,25.2 kmpl,1248 CC,5.0
Maruti Swift AMT VDI,11497.2,2018,11500,Diesel,Automatic,First,28.4 kmpl,1248 CC,5.0
Chevrolet Beat Diesel LS,3219.22,2012,58000,Diesel,Manual,First,25.44 kmpl,936 CC,5.0
Skoda Superb Elegance 1.8 TSI AT,17782.34,2014,38000,Petrol,Automatic,First,13.7 kmpl,1798 CC,5.0
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,29509.48,2012,49000,Diesel,Automatic,Second,14.84 kmpl,2143 CC,5.0
Toyota Innova Crysta 2.4 VX MT 8S,27470.64,2017,72202,Diesel,Manual,First,13.68 kmpl,2393 CC,8.0
Hyundai i10 Sportz,5518.66,2016,7000,Petrol,Manual,First,20.36 kmpl,1197 CC,5.0
Honda Amaze S i-DTEC,6898.32,2014,20000,Diesel,Manual,Second,25.8 kmpl,1498 CC,5.0
Hyundai i20 Magna 1.4 CRDi (Diesel),11343.9,2017,14061,Diesel,Manual,First,21.9 kmpl,1396 CC,5.0
Mercedes-Benz GLE 350d,90889.2,2018,30706,Diesel,Automatic,First,11.57 kmpl,2987 CC,5.0
Mahindra Scorpio 2009-2014 SLE 7S BSIV,8431.28,2011,51387,Diesel,Manual,First,12.05 kmpl,2179 CC,7.0
Hyundai Getz GLE,2682.68,2006,44000,Petrol,Manual,Second,15.3 kmpl,1341 CC,5.0
Maruti Baleno Alpha,10347.48,2016,12208,Petrol,Manual,First,21.4 kmpl,1197 CC,5.0
Chevrolet Optra Magnum 2.0 LT,6055.19,2011,55000,Diesel,Manual,First,16.52 kmpl,1991 CC,5.0
Hyundai Verna 1.6 SX VTVT (O),6438.43,2011,61600,Petrol,Manual,First,17.1 kmpl,1591 CC,5.0
Honda City 1.5 V MT,12876.86,2016,28414,Petrol,Manual,First,17.0 kmpl,1497 CC,5.0
Volkswagen Polo GT TSI,12646.92,2017,27853,Petrol,Automatic,First,17.21 kmpl,1197 CC,5.0
Honda Brio E MT,5074.1,2013,55116,Petrol,Manual,First,19.4 kmpl,1198 CC,5.0
Maruti Swift Dzire VDI,11497.2,2017,26000,Diesel,Manual,First,26.59 kmpl,1248 CC,5.0
Honda City 1.5 V MT Exclusive,7281.56,2012,45496,Petrol,Manual,First,17.0 kmpl,1497 CC,5.0
Mahindra Ssangyong Rexton RX7,13474.72,2013,76000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,7.0
Skoda Superb Elegance 1.8 TSI MT,14563.12,2014,136000,Petrol,Manual,First,13.1 kmpl,1798 CC,5.0
Hyundai Santro GLS II - Euro II,2452.74,2009,100000,Petrol,Manual,First,17.9 kmpl,1086 CC,5.0
Maruti Alto LXi,2376.09,2010,38127,Petrol,Manual,First,19.7 kmpl,796 CC,5.0
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),8967.82,2014,82450,Diesel,Manual,First,23.0 kmpl,1396 CC,5.0
Ford Ecosport 1.5 Ti VCT MT Trend,11527.86,2014,62497,Petrol,Manual,First,15.8 kmpl,1499 CC,5.0
Nissan Micra Diesel XV,5518.66,2011,86732,Diesel,Manual,First,23.08 kmpl,1461 CC,5.0
Honda Brio E MT,7250.9,2016,27969,Petrol,Manual,First,19.4 kmpl,1198 CC,5.0
Mahindra Ssangyong Rexton RX7,16096.08,2013,66372,Diesel,Automatic,First,11.18 kmpl,2696 CC,7.0
BMW 7 Series 730Ld Sedan,52948.44,2013,73525,Diesel,Automatic,First,16.46 kmpl,2993 CC,5.0
Hyundai Grand i10 1.2 Kappa Sportz,9305.07,2018,20689,Petrol,Manual,First,18.9 kmpl,1197 CC,5.0
Maruti Baleno Delta 1.2,11895.77,2018,25093,Petrol,Manual,First,21.4 kmpl,1197 CC,5.0
Mahindra Xylo E8 ABS BS IV,11435.88,2016,49176,Diesel,Manual,First,11.68 kmpl,2498 CC,8.0
Renault Fluence Diesel E4,5350.03,2012,87510,Diesel,Manual,First,21.8 kmpl,1461 CC,5.0
Hyundai i20 1.2 Magna,6208.49,2012,38214,Petrol,Manual,Second,18.5 kmpl,1197 CC,5.0
Mitsubishi Pajero 2.8 SFX,18211.56,2013,48986,Diesel,Manual,First,10.5 kmpl,2835 CC,6.0
Toyota Corolla Altis 2008-2013 1.8 VL AT,9887.59,2011,88000,Petrol,Automatic,First,14.53 kmpl,1794 CC,5.0
BMW X5 X5 M,76648.0,2015,69002,Diesel,Automatic,First,15.97 kmpl,2993 CC,5.0
BMW 3 Series 2005-2011 325i Sedan,13796.64,2011,43706,Petrol,Automatic,First,10.9 kmpl,2497 CC,5.0
Hyundai Creta 1.6 CRDi AT SX Plus,21844.68,2016,58671,Diesel,Automatic,First,17.01 kmpl,1582 CC,5.0
Mahindra TUV 300 2015-2019 T8,11282.59,2017,49404,Diesel,Manual,First,18.49 kmpl,1493 CC,7.0
Mahindra Scorpio VLX 2.2 mHawk BSIII,6745.02,2010,72000,Diesel,Manual,First,12.05 kmpl,2179 CC,8.0
Renault KWID RXT,4752.18,2016,24000,Petrol,Manual,First,25.17 kmpl,799 CC,5.0
Renault KWID 1.0 RXT Optional AMT,6561.07,2017,53285,Petrol,Automatic,First,22.5 kmpl,999 CC,5.0
Maruti Swift VXi BSIV,8431.28,2017,12000,Petrol,Manual,First,16.1 kmpl,1197 CC,5.0
Skoda Laura 1.9 TDI AT Ambiente,10715.39,2012,45000,Diesel,Automatic,First,17.0 kmpl,1896 CC,5.0
Maruti Alto 800 2016-2019 VXI,6576.4,2018,26234,Petrol,Manual,First,24.7 kmpl,796 CC,5.0
Maruti Swift VXI,6438.43,2014,55000,Petrol,Manual,First,18.6 kmpl,1197 CC,5.0
Hyundai i20 1.4 CRDi Sportz,6300.47,2012,90000,Diesel,Manual,First,23.0 kmpl,1396 CC,5.0
Audi Q3 2012-2015 35 TDI Quattro Premium,28743.0,2015,48000,Diesel,Automatic,First,15.73 kmpl,1968 CC,5.0
Mercedes-Benz GLE 350d,99565.75,2017,19863,Diesel,Automatic,First,11.57 kmpl,2987 CC,5.0
Hyundai i10 Era,2437.41,2010,55000,Petrol,Manual,Second,19.81 kmpl,1086 CC,5.0
Maruti Wagon R LXI Optional,5518.66,2016,4800,Petrol,Manual,First,20.51 kmpl,998 CC,5.0
Honda City i VTEC V,12064.4,2017,38607,Petrol,Manual,Second,17.8 kmpl,1497 CC,5.0
Hyundai Grand i10 1.2 Kappa Sportz,8507.93,2018,3958,Petrol,Manual,First,18.9 kmpl,1197 CC,5.0
Honda City i DTEC VX,9810.94,2014,74000,Diesel,Manual,Second,25.1 kmpl,1498 CC,5.0
Maruti Swift Dzire VXi,4062.34,2009,54540,Petrol,Manual,Third,17.5 kmpl,1298 CC,5.0
Maruti Swift Dzire ZXi,8431.28,2015,58400,Petrol,Manual,First,17.5 kmpl,1298 CC,5.0
Mahindra XUV500 W8 2WD,11205.94,2013,73648,Diesel,Manual,First,15.1 kmpl,2179 CC,7.0
Maruti Ciaz ZDi Plus SHVS,10884.02,2016,83000,Diesel,Manual,First,28.09 kmpl,1248 CC,5.0
Hyundai Verna 1.6 SX CRDi (O),12003.08,2016,16159,Diesel,Manual,First,22.32 kmpl,1582 CC,5.0
Hyundai Accent CRDi,1303.02,2005,150000,Diesel,Manual,First,13.1 kmpl,1493 CC,5.0
Honda Brio S MT,5442.01,2014,22100,Petrol,Manual,First,19.4 kmpl,1198 CC,5.0
Hyundai i20 Active 1.2 SX,12554.94,2017,35043,Petrol,Manual,First,17.19 kmpl,1197 CC,5.0
BMW 3 Series 320d Sport Line,42922.88,2018,24000,Diesel,Automatic,First,18.88 kmpl,1995 CC,5.0
Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,19928.48,2015,480000,Diesel,Automatic,First,16.96 kmpl,1968 CC,5.0
Volkswagen Polo Petrol Highline 1.6L,5043.44,2011,70000,Petrol,Manual,Second,15.26 kmpl,1598 CC,5.0
Maruti Swift VXi BSIV,6760.35,2015,13769,Petrol,Manual,Second,16.1 kmpl,1197 CC,5.0
Renault Duster 110PS Diesel RxZ,7649.47,2013,58000,Diesel,Manual,First,19.01 kmpl,1461 CC,5.0
BMW X3 xDrive 20d Luxury Line,27562.62,2009,58000,Diesel,Automatic,First,18.56 kmpl,1995 CC,5.0
Fiat Avventura MULTIJET Emotion,11819.12,2018,18705,Diesel,Manual,First,20.5 kmpl,1248 CC,5.0
Maruti Wagon R Stingray VXI,4292.29,2013,32378,Petrol,Manual,First,20.51 kmpl,998 CC,5.0
Chevrolet Sail Hatchback LS ABS,4598.88,2013,45000,Diesel,Manual,First,22.1 kmpl,1248 CC,5.0
Mahindra XUV500 W8 2WD,19146.67,2015,36836,Diesel,Manual,First,15.1 kmpl,2179 CC,7.0
Tata Zest Quadrajet 1.3,7664.8,2016,54199,Diesel,Manual,First,23.0 kmpl,1248 CC,5.0
BMW X3 xDrive20d xLine,50035.81,2017,36935,Diesel,Automatic,First,18.56 kmpl,1995 CC,5.0
Maruti Swift VDI BSIV,9964.24,2015,23000,Diesel,Manual,First,25.2 kmpl,1248 CC,5.0
BMW 5 Series 2013-2017 520d Luxury Line,53653.6,2015,14000,Diesel,Automatic,First,18.12 kmpl,1995 CC,5.0
Tata Indigo CS eVX,3065.92,2015,100073,Diesel,Manual,Second,25.0 kmpl,1396 CC,5.0
Mahindra XUV500 W8 2WD,14501.8,2015,59182,Diesel,Manual,First,15.1 kmpl,2179 CC,7.0
Audi Q7 35 TDI Quattro Premium Plus,59785.44,2016,72132,Diesel,Automatic,Second,12.07 kmpl,2967 CC,7.0
BMW 5 Series 2003-2012 520d,22994.4,2009,79000,Diesel,Automatic,First,18.48 kmpl,1995 CC,5.0
Hyundai Verna 1.6 SX VTVT (O),9427.7,2013,66930,Petrol,Manual,First,17.1 kmpl,1591 CC,5.0
Hyundai Santa Fe 4WD AT,22227.92,2015,100000,Diesel,Automatic,Second,13.01 kmpl,2199 CC,7.0
Hyundai Santro GLS II - Euro II,4982.12,2012,43000,Petrol,Manual,First,20.4 kmpl,1086 CC,5.0
Maruti Wagon R AMT VXI,7940.73,2018,27413,Petrol,Automatic,First,20.51 kmpl,998 CC,5.0
Maruti Wagon R LX BSIII,1900.87,2007,90000,Petrol,Manual,Second,17.3 kmpl,1061 CC,5.0
Hyundai i20 Sportz 1.2,4292.29,2013,40300,Petrol,Manual,First,18.5 kmpl,1197 CC,5.0
Skoda Superb Elegance 1.8 TSI AT,8017.38,2011,73783,Petrol,Automatic,Second,13.7 kmpl,1798 CC,5.0
Hyundai Getz GLS,689.83,2005,86000,Petrol,Manual,Second,15.3 kmpl,1341 CC,5.0
Maruti Wagon R LXI BS IV,4982.12,2014,65694,Petrol,Manual,First,18.9 kmpl,998 CC,5.0
Maruti Omni MPI CARGO BSIV,2299.44,2015,23000,Petrol,Manual,First,16.8 kmpl,796 CC,5.0
Hyundai i10 Magna 1.2,4368.94,2012,51000,Petrol,Manual,First,20.36 kmpl,1197 CC,5.0
Renault KWID 1.0 RXT Optional,6898.32,2018,18335,Petrol,Manual,First,21.7 kmpl,999 CC,5.0
Mercedes-Benz B Class 2012-2015 B200 Sport CDI,24910.6,2014,36000,Diesel,Automatic,First,15.0 kmpl,2147 CC,5.0
Volkswagen Polo GT TSI,11880.44,2017,25000,Petrol,Automatic,First,17.21 kmpl,1197 CC,5.0
Mahindra Scorpio VLX 4WD,6668.38,2007,81000,Diesel,Manual,Third,12.05 kmpl,2179 CC,8.0
Toyota Fortuner 2.8 2WD AT,50786.96,2019,21719,Diesel,Automatic,First,12.9 kmpl,2755 CC,7.0
Chevrolet Beat Diesel LT,5564.64,2013,75421,Diesel,Manual,First,25.44 kmpl,936 CC,5.0
Toyota Innova 2.5 G4 Diesel 8-seater,7281.56,2010,80000,Diesel,Manual,First,12.8 kmpl,2494 CC,8.0
Maruti Swift Dzire VXI,9979.57,2018,10671,Petrol,Manual,First,20.85 kmpl,1197 CC,5.0
Renault KWID Climber 1.0 MT,7358.21,2018,4126,Petrol,Manual,First,21.7 kmpl,999 CC,5.0
Tata Bolt Quadrajet XM,9197.76,2017,98500,Diesel,Manual,First,22.95 kmpl,1248 CC,5.0
Hyundai Grand i10 Asta,9810.94,2016,61578,Petrol,Manual,First,18.9 kmpl,1197 CC,5.0
Volkswagen Vento 1.5 TDI Highline,7511.5,2014,54000,Diesel,Manual,First,20.34 kmpl,1498 CC,5.0
Audi A6 2011-2015 2.0 TDI,31532.99,2013,70998,Diesel,Automatic,First,17.68 kmpl,1968 CC,5.0
Maruti Swift Dzire Ldi BSIV,7296.89,2015,40082,Diesel,Manual,First,19.3 kmpl,1248 CC,5.0
Chevrolet Spark 1.0 LT,3065.92,2012,50619,Petrol,Manual,First,18.0 kmpl,995 CC,5.0
BMW 3 Series 320d,15206.96,2009,103905,Diesel,Automatic,First,22.69 kmpl,1995 CC,5.0
Hyundai EON Era Plus,5656.62,2018,15334,Petrol,Manual,First,21.1 kmpl,814 CC,5.0
Maruti Swift Dzire VDI,8814.52,2013,69000,Diesel,Manual,First,23.4 kmpl,1248 CC,5.0
Volkswagen CrossPolo 1.5 TDI,8737.87,2014,75160,Diesel,Manual,First,20.14 kmpl,1498 CC,5.0
Honda Amaze E i-Vtech,7572.82,2014,44753,Petrol,Manual,First,18.0 kmpl,1198 CC,5.0
Volkswagen Vento Petrol Highline AT,6576.4,2012,53024,Petrol,Automatic,First,14.4 kmpl,1598 CC,5.0
Maruti Wagon R Stingray VXI,4598.88,2014,23840,Petrol,Manual,First,20.51 kmpl,998 CC,5.0
Volkswagen Polo 1.5 TDI Highline,9964.24,2014,81298,Diesel,Manual,First,20.14 kmpl,1498 CC,5.0
Volkswagen Polo Petrol Comfortline 1.2L,7511.5,2015,59000,Petrol,Manual,Second,16.47 kmpl,1198 CC,5.0
Honda Amaze SX i-DTEC,8277.98,2016,51806,Diesel,Manual,First,25.8 kmpl,1498 CC,5.0
Audi A6 35 TDI Matrix,36791.04,2014,56000,Diesel,Automatic,First,18.53 kmpl,1968 CC,5.0
Tata Tigor 1.05 Revotorq XZ Option,11435.88,2019,29279,Diesel,Manual,First,24.7 kmpl,1047 CC,5.0
Volkswagen Vento 1.5 TDI Highline AT,14716.42,2017,33550,Diesel,Automatic,First,21.5 kmpl,1498 CC,5.0
Audi A6 35 TDI Matrix,38324.0,2014,62000,Diesel,Automatic,First,18.53 kmpl,1968 CC,5.0
Nissan Terrano XL 110 PS,10424.13,2014,66000,Diesel,Manual,First,19.01 kmpl,1461 CC,5.0
Skoda Rapid 1.5 TDI AT Elegance,13168.13,2016,46630,Diesel,Automatic,First,21.66 kmpl,1498 CC,5.0
Ford Figo Aspire 1.5 TDCi Trend,8109.36,2016,72566,Diesel,Manual,First,25.83 kmpl,1498 CC,5.0
Tata Venture EX,3832.4,2011,51482,Diesel,Manual,First,15.42 kmpl,1405 CC,8.0
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,21308.14,2011,90000,Diesel,Automatic,First,14.84 kmpl,2143 CC,5.0
Toyota Fortuner 4x2 Manual,30659.2,2014,69000,Diesel,Manual,Second,13.0 kmpl,2982 CC,7.0
Honda City 1.5 V MT,5212.06,2011,90000,Petrol,Manual,Second,17.0 kmpl,1497 CC,5.0
Hyundai i20 Asta Option 1.2,8431.28,2015,39000,Petrol,Manual,First,18.6 kmpl,1197 CC,5.0
Volkswagen Vento Diesel Trendline,5595.3,2012,110000,Diesel,Manual,Second,20.54 kmpl,1598 CC,5.0
Ford Endeavour 2.5L 4X2 MT,8983.15,2011,68022,Diesel,Manual,First,13.1 kmpl,2499 CC,7.0
Ford EcoSport 1.5 Petrol Titanium Plus AT,16004.1,2018,27852,Petrol,Automatic,First,14.8 kmpl,1497 CC,5.0
Maruti Swift VDI BSIV,7664.8,2013,58291,Diesel,Manual,First,17.8 kmpl,1248 CC,5.0
Hyundai i20 Sportz Diesel,5166.08,2011,68439,Diesel,Manual,First,23.0 kmpl,1396 CC,5.0
Toyota Innova 2.5 VX (Diesel) 8 Seater,10654.07,2011,150000,Diesel,Manual,First,12.99 kmpl,2494 CC,8.0
Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,15176.3,2018,14000,Diesel,Manual,First,21.5 kmpl,1497 CC,5.0
Ford Figo Diesel Titanium,5058.77,2012,71558,Diesel,Manual,First,20.0 kmpl,1399 CC,5.0
Porsche Panamera Diesel,77414.48,2013,48000,Diesel,Automatic,Second,17.85 kmpl,2967 CC,4.0
Hyundai Creta 1.6 CRDi AT SX Plus,19162.0,2015,65800,Diesel,Automatic,First,17.01 kmpl,1582 CC,5.0
Audi A4 2.0 TDI Multitronic,31425.68,2014,53000,Diesel,Automatic,First,16.55 kmpl,1968 CC,5.0
Mahindra XUV500 W8 4WD,22227.92,2017,14600,Diesel,Manual,First,16.0 kmpl,2179 CC,7.0
ISUZU MUX 4WD,30659.2,2017,34429,Diesel,Automatic,First,13.8 kmpl,2999 CC,7.0
Maruti Swift Dzire VDI,8048.04,2014,52000,Diesel,Manual,First,23.4 kmpl,1248 CC,5.0
Maruti Ciaz ZXi,9044.46,2015,25470,Petrol,Manual,First,20.73 kmpl,1373 CC,5.0
Hyundai EON Era Plus,3985.7,2013,22000,Petrol,Manual,First,21.1 kmpl,814 CC,5.0
Mercedes-Benz E-Class 280 CDI,16862.56,2007,75000,Diesel,Automatic,First,11.0 kmpl,2987 CC,5.0
BMW 5 Series 2003-2012 520d,23760.88,2011,95995,Diesel,Automatic,First,18.48 kmpl,1995 CC,5.0
Hyundai Grand i10 1.2 CRDi Sportz Option,8814.52,2017,26877,Diesel,Manual,First,24.0 kmpl,1186 CC,5.0
Jaguar XJ 3.0L Portfolio,114972.0,2015,26000,Diesel,Automatic,First,14.47 kmpl,2993 CC,5.0
Maruti Swift Ldi BSIII,3065.92,2007,140000,Diesel,Manual,Second,17.8 kmpl,1248 CC,5.0
Hyundai Santro Xing GLS,3525.81,2008,95291,Petrol,Manual,First,17.92 kmpl,1086 CC,5.0
Toyota Innova 2.5 V Diesel 8-seater,12570.27,2009,135000,Diesel,Manual,Second,12.8 kmpl,2494 CC,8.0
Hyundai i20 Sportz 1.2,7358.21,2015,32000,Petrol,Manual,First,18.6 kmpl,1197 CC,5.0
Mercedes-Benz E-Class 280 CDI,13030.16,2008,68333,Diesel,Automatic,Second,11.0 kmpl,2987 CC,5.0
Ford Figo Diesel ZXI,4445.58,2011,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,5.0
Toyota Corolla Altis 1.4 DG,9964.24,2012,52100,Diesel,Manual,First,21.43 kmpl,1364 CC,5.0
Hyundai Grand i10 1.2 Kappa Sportz,8967.82,2018,10000,Petrol,Manual,First,18.9 kmpl,1197 CC,5.0
Jeep Compass 2.0 Limited 4X4,36653.07,2019,6261,Diesel,Manual,First,16.3 kmpl,1956 CC,5.0
Maruti Ignis 1.2 AMT Alpha,11282.59,2019,3906,Petrol,Automatic,First,20.89 kmpl,1197 CC,5.0
Toyota Fortuner 3.0 Diesel,26443.56,2014,55960,Diesel,Manual,First,11.5 kmpl,2982 CC,7.0
Volkswagen Vento Diesel Highline,10730.72,2013,144000,Diesel,Manual,First,20.54 kmpl,1598 CC,5.0
Toyota Innova Crysta 2.4 VX MT,27056.74,2017,38000,Diesel,Manual,First,13.68 kmpl,2393 CC,7.0
Ford Figo Diesel Celebration Edition,3832.4,2013,51000,Diesel,Manual,First,20.0 kmpl,1399 CC,5.0
Toyota Platinum Etios 1.4 GXD,9197.76,2015,150000,Diesel,Manual,First,23.59 kmpl,1364 CC,5.0
Mahindra Thar DI 4X4,12646.92,2018,2500,Diesel,Manual,First,18.06 kmpl,2523 CC,7.0
Land Rover Range Rover HSE Dynamic,68722.6,2018,41661,Diesel,Automatic,First,12.7 kmpl,2179 CC,5.0
BMW 3 Series 320d Highline,16096.08,2011,64000,Diesel,Automatic,First,16.07 kmpl,1995 CC,5.0
